,dayl (s),prcp (mm/day),srad (W/m2),swe (kg/m2),tmax (degrees C),tmin (degrees C),vp (Pa)
2008-03-17,42490.41015625,0.0,369.7900085449219,11.520000457763672,2.880000114440918,-6.090000152587891,387.6300048828125
2008-03-18,42667.66015625,3.890000104904175,333.2699890136719,11.09000015258789,7.019999980926514,-4.96999979019165,422.05999755859375
2008-03-19,42845.0,17.969999313354492,251.9199981689453,8.720000267028809,7.320000171661377,-0.3499999940395355,595.3200073242188
2008-03-20,43022.390625,1.2699999809265137,181.7400054931641,6.429999828338623,3.200000047683716,-0.5400000214576721,587.1199951171875
2008-03-21,43199.80859375,0.0,329.6400146484375,6.21999979019165,1.6399999856948853,-5.5,405.6700134277344
2008-03-22,43377.21875,0.0,375.7900085449219,6.21999979019165,2.319999933242798,-6.070000171661377,388.1300048828125
2008-03-23,43554.609375,0.0,419.4700012207031,6.21999979019165,2.640000104904175,-7.230000019073486,355.07000732421875
2008-03-24,43731.94921875,0.0,447.1700134277344,6.21999979019165,3.039999961853028,-7.920000076293945,336.5899963378906
2008-03-25,43909.19921875,0.6800000071525574,520.3200073242188,6.900000095367432,7.25,-8.489999771118164,322.0400085449219
2008-03-26,44086.33984375,0.0,493.6099853515625,6.409999847412109,8.529999732971191,-4.820000171661377,427.010009765625
2008-03-27,44263.3515625,14.81999969482422,299.94000244140625,5.099999904632568,6.260000228881836,-2.890000104904175,493.6199951171875
2008-03-28,44440.1796875,2.549999952316284,159.3699951171875,3.630000114440918,1.7400000095367432,-2.5,508.1700134277344
2008-03-29,44616.8203125,0.0,376.1499938964844,3.630000114440918,0.270000010728836,-7.650000095367432,343.8800048828125
2008-03-30,44793.23828125,0.0,560.719970703125,3.630000114440918,8.720000267028809,-10.6899995803833,270.5599975585937
2008-03-31,44969.3984375,7.079999923706055,406.3299865722656,2.859999895095825,13.050000190734863,-4.170000076293945,448.4400024414063
2008-04-01,45145.28125,0.5,480.3299865722656,0.0,19.13999938964844,1.950000047683716,702.739990234375
2008-04-02,45320.8515625,0.0,331.6099853515625,0.0,4.619999885559082,-2.940000057220459,491.6799926757813
2008-04-03,45496.078125,2.0199999809265137,415.7000122070313,2.0199999809265137,11.520000457763672,-6.289999961853027,381.9100036621094
2008-04-04,45670.9296875,5.320000171661377,321.8800048828125,0.3000000119209289,7.949999809265137,-1.899999976158142,531.1400146484375
2008-04-05,45845.37890625,0.0,378.8999938964844,0.0,10.739999771118164,1.2300000190734863,667.530029296875
2008-04-06,46019.390625,0.0,488.5700073242188,0.0,15.460000038146973,-0.7900000214576721,576.4099731445312
2008-04-07,46192.9296875,0.0,424.0499877929688,0.0,13.239999771118164,1.5299999713897705,681.9199829101562
2008-04-08,46365.96875,0.0,440.6199951171875,0.0,17.6299991607666,4.489999771118164,841.7000122070312
2008-04-09,46538.46875,0.0,406.6400146484375,0.0,18.200000762939453,6.739999771118164,983.6900024414062
2008-04-10,46710.3984375,2.1600000858306885,291.3699951171875,0.0,13.630000114440918,3.3499999046325684,776.7000122070312
2008-04-11,46881.73046875,3.25,307.9700012207031,0.0,16.25,4.869999885559082,864.1300048828125
2008-04-12,47052.421875,0.0599999986588954,410.1000061035156,0.0,16.5,5.389999866485596,896.219970703125
2008-04-13,47222.4296875,0.4000000059604645,238.16000366210935,0.0,7.010000228881836,1.7200000286102295,691.4400024414062
